taskSize,taskType,priority,resourceLoad,actualTime
2,1,1,14.64,3.313
1,1,2,39.97,0.825
2,1,5,17.8,1.587
2,3,1,11.7,4.796
1,1,1,34.92,0.878
3,1,2,10.1,10.944
2,1,1,68.24,6.725
2,3,2,48.65,4.711
1,1,1,14.89,1.081
1,1,3,41.74,0.987
1,1,3,15.65,0.651
3,1,2,21.69,12.961
2,3,3,23.67,5.67
2,2,1,30.32,6.129
1,1,2,30.58,0.546
1,3,2,15.73,1.324
1,1,1,34.71,0.955
1,3,1,4.68,0.717
2,1,2,25.49,2.852
2,1,2,24.41,3.836
2,3,2,19.73,3.647
1,3,1,45.51,1.166
3,2,1,60.18,93.312
2,2,5,56.08,4.295
2,3,1,26.47,4.137
1,2,5,44.73,2.112
1,1,3,30.67,0.66
1,1,2,20.56,0.69
1,2,1,9.28,1.664
2,2,4,17.02,4.56
2,3,4,44.04,5.78
3,1,3,24.53,9.062
1,1,3,16.51,0.582
1,1,2,18.97,0.579
1,3,1,32.15,1.149
1,1,5,34.7,0.226
1,3,1,20.52,0.624
1,1,2,57.14,0.987
1,1,1,17.83,0.813
2,3,3,23.38,2.507
1,1,3,51.3,0.655
2,3,2,5.18,4.045
2,1,1,14.27,3.254
1,2,1,37.82,2.009
2,2,1,32.78,9.573
2,3,5,10.5,1.814
1,1,1,23.2,0.686
1,1,5,12.55,0.316
2,2,1,64.48,18.539
1,3,4,8.08,0.678
1,3,2,30.34,0.667
1,3,3,46.96,1.465
2,2,2,27.8,4.072
2,2,3,58.03,6.806
2,3,3,34.07,2.874
2,3,1,53.13,5.89
1,3,4,32.17,0.348
1,3,2,47.03,1.087
1,3,1,25.47,0.591
1,1,1,34.13,0.682
2,1,2,21.3,4.096
1,3,4,55.99,0.995
1,2,3,18.05,1.62
2,1,1,9.51,4.174
2,2,2,52.14,11.649
1,2,1,34.36,1.208
1,3,1,24.27,0.855
1,3,3,13.63,0.751
1,1,1,24.47,0.621
1,1,1,36.89,0.815
1,1,1,44.14,1.282
1,3,1,41.19,1.171
2,1,1,12.4,2.364
1,2,1,23.77,1.516
1,2,2,7.63,0.948
1,2,4,16.32,0.696
1,2,1,35.14,2.87
2,2,4,18.82,4.153
1,2,2,74.28,5.645
2,1,1,7.69,2.773
2,1,1,18.53,2.88
1,2,1,38.32,1.295
2,1,3,33.94,2.921
1,2,3,6.14,0.846
1,1,1,27.99,0.56
1,3,1,39.07,1.439
2,1,1,39.37,4.328
1,2,2,19.32,1.34
1,1,1,44.96,1.012
1,2,2,73.62,6.627
1,1,2,42.27,0.812
2,2,2,22.3,7.127
1,1,1,87.52,3.532
1,2,2,10.08,0.805
1,2,2,46.69,1.076
2,3,3,9.38,2.626
1,2,2,10.78,0.965
1,2,2,27.92,1.074
1,3,1,26.48,1.0
3,1,2,15.18,20.759
3,2,2,45.56,21.425
2,1,3,19.24,1.791
1,2,2,53.25,1.387
3,1,4,39.49,9.886
2,1,4,5.36,1.546
2,2,1,15.03,5.55
1,1,1,32.09,0.816
1,1,4,50.99,0.647
1,1,3,40.35,0.555
3,3,5,17.48,11.384
1,1,2,21.17,0.395
1,1,5,18.89,0.436
1,3,1,61.48,1.6
1,3,2,15.57,0.839
1,1,2,21.76,0.625
2,2,1,20.5,4.138
2,1,1,19.48,3.064
2,3,1,26.0,6.726
1,1,1,22.69,0.816
2,1,4,17.57,2.104
1,1,5,11.53,0.429
2,2,4,15.75,5.04
1,1,5,40.93,0.707
1,2,3,32.84,1.34
1,1,4,10.84,0.603
1,2,1,30.22,1.374
1,3,1,32.17,1.296
1,1,4,19.68,0.349
1,1,2,21.38,0.75
1,1,3,15.86,0.542
1,2,2,33.8,1.482
3,1,1,10.77,21.032
1,2,1,50.24,1.344
1,2,3,10.05,1.263
1,2,2,15.78,1.257
1,2,1,28.83,1.442
3,1,2,14.18,10.669
1,1,2,13.59,0.511
2,2,2,43.96,9.624
1,1,2,7.12,0.579
1,2,2,24.25,1.533
1,3,4,24.93,0.753
3,1,2,30.7,13.033
1,1,5,32.41,0.411
1,1,3,8.32,0.493
1,1,4,17.36,0.551
1,3,3,21.64,0.709
1,3,2,21.8,0.79
1,1,2,53.48,1.094
1,3,2,33.09,0.83
2,1,1,25.63,4.456
2,3,1,36.17,5.526
1,3,1,65.97,2.765
1,1,3,23.56,0.667
1,2,1,12.56,1.254
2,2,2,48.12,12.367
1,1,1,18.97,0.594
2,1,1,2.5,3.387
2,2,2,46.74,7.89
2,1,4,78.81,6.715
1,1,1,23.87,0.616
3,1,4,24.07,11.554
1,2,1,32.31,1.181
1,1,2,41.87,0.505
1,2,1,36.78,1.408
1,1,1,16.7,0.722
2,1,1,55.81,3.93
2,2,1,21.11,5.718
1,1,3,3.95,0.563
3,2,2,64.91,64.493
1,1,1,15.55,0.806
1,2,4,30.02,0.669
1,1,2,62.17,2.468
3,3,1,15.94,14.553
1,1,2,50.28,0.836
1,3,1,31.15,0.519
1,1,3,27.97,0.431
3,1,2,14.85,11.509
2,2,1,26.72,9.123
2,1,1,21.23,5.301
2,1,1,24.23,3.759
2,3,2,23.22,3.569
1,2,2,29.93,0.586
1,2,5,16.6,0.537
2,3,1,19.26,2.818
2,1,1,34.97,3.265
1,1,1,34.18,0.715
1,3,1,52.37,1.447
2,1,2,4.32,2.765
1,1,5,37.17,0.384
3,1,3,31.52,12.182
1,1,1,33.76,0.749
1,1,4,4.6,0.536
2,1,3,55.98,5.367
1,2,1,25.07,1.075
1,2,4,30.29,0.804
1,3,3,8.68,1.011
2,1,3,16.8,2.237
1,1,2,16.05,0.693
1,2,1,43.33,2.174
2,1,3,48.64,3.767
3,1,2,19.97,12.364
1,2,5,21.96,0.417
1,2,1,25.14,1.503
1,1,1,25.06,0.755
1,2,3,14.43,0.777
1,2,2,9.74,1.18
2,3,2,47.06,5.689
1,1,3,18.42,0.432
1,2,3,43.77,0.799
2,2,2,10.8,4.749
1,1,1,17.57,0.957
1,2,2,32.46,1.478
2,2,2,24.27,6.22
2,1,3,18.6,2.904
2,1,2,48.18,3.251
1,1,2,10.89,0.522
1,2,1,24.42,1.295
3,1,1,31.38,17.878
1,2,1,33.89,1.039
1,1,2,43.56,0.561
